File Path,EPSG Code,Projection,Spheroid,Semi-major Axis,Inverse Flattening,Datum,Unit,Unit Conversion Factor,GeoTransform Top Left X,GeoTransform Pixel Size X,GeoTransform Rotation X,GeoTransform Top Left Y,GeoTransform Rotation Y,GeoTransform Pixel Size Y
/Volumes/Expansion 1/DTM_UNZIP/HuronGeorgianBay-DTM-13/1km175320487402022LHURONGEORGIANBAY_DTM.tif,7019,Transverse_Mercator,,,,,,,532000.0,0.5,0.0,4875000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/HuronGeorgianBay-DTM-14/1km174500489502022LHURONGEORGIANBAY_DTM.tif,7019,Transverse_Mercator,,,,,,,450000.0,0.5,0.0,4896000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/HuronGeorgianBay-DTM-15/1km174760489502022LHURONGEORGIANBAY_DTM.tif,7019,Transverse_Mercator,,,,,,,476000.0,0.5,0.0,4896000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/HuronGeorgianBay-DTM-16/1km174980489502022LHURONGEORGIANBAY_DTM.tif,7019,Transverse_Mercator,,,,,,,498000.0,0.5,0.0,4896000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/HuronGeorgianBay-DTM-17/1km175180489502022LHURONGEORGIANBAY_DTM.tif,7019,Transverse_Mercator,,,,,,,518000.0,0.5,0.0,4896000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/HuronGeorgianBay-DTM-18/1km175390489502022LHURONGEORGIANBAY_DTM.tif,7019,Transverse_Mercator,,,,,,,539000.0,0.5,0.0,4896000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/HuronGeorgianBay-DTM-19/1km175570488102022LHURONGEORGIANBAY_DTM.tif,7019,Transverse_Mercator,,,,,,,557000.0,0.5,0.0,4882000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/HuronGeorgianBay-DTM-20/1km175570489402022LHURONGEORGIANBAY_DTM.tif,7019,Transverse_Mercator,,,,,,,557000.0,0.5,0.0,4895000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/HuronGeorgianBay-DTM-21/1km174600491702022LHURONGEORGIANBAY_DTM.tif,7019,Transverse_Mercator,,,,,,,460000.0,0.5,0.0,4918000.0,0.0,-0.5
/Volumes/Expansion 1/DTM_UNZIP/HuronGeorgianBay-DTM-22/1km174930491702022LHURONGEORGIANBAY_DTM.tif,7019,Transverse_Mercator,,,,,,,493000.0,0.5,0.0,4918000.0,0.0,-0.5
